127.0.0.1 - - [10/Jun/2024:14:12:05 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Jun/2024:14:12:06 +0530] "GET /signup/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:14:12:07 +0530] "GET /signup/login.jsp HTTP/1.1" 200 3202
0:0:0:0:0:0:0:1 - - [10/Jun/2024:14:12:07 +0530] "GET /signup/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:14:12:07 +0530] "GET /signup/images/signin-image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:14:12:07 +0530] "GET /signup/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:14:12:07 +0530] "GET /signup/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:14:12:07 +0530] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [10/Jun/2024:14:12:07 +0530] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [10/Jun/2024:14:12:07 +0530] "GET /signup/fonts/poppins/poppins-v5-latin-700.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:14:12:07 +0530] "GET /signup/fonts/material-icon/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:14:12:07 +0530] "GET /signup/fonts/poppins/poppins-v5-latin-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:14:12:08 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Jun/2024:14:13:29 +0530] "POST /signup/login HTTP/1.1" 200 3204
0:0:0:0:0:0:0:1 - - [10/Jun/2024:14:13:29 +0530] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [10/Jun/2024:14:13:29 +0530] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [10/Jun/2024:14:13:29 +0530] "GET /signup/fonts/poppins/poppins-v5-latin-600.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:14:13:39 +0530] "POST /signup/login HTTP/1.1" 200 24059
0:0:0:0:0:0:0:1 - - [10/Jun/2024:14:13:39 +0530] "GET /signup/css/index-styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:14:13:39 +0530] "GET /signup/assets/img/avataaars.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:14:13:39 +0530] "GET /signup/assets/img/portfolio/cabin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:14:13:39 +0530] "GET /signup/assets/img/portfolio/cake.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:14:13:39 +0530] "GET /signup/assets/img/portfolio/circus.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:14:13:39 +0530] "GET /signup/assets/img/portfolio/game.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:14:13:39 +0530] "GET /signup/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:14:13:39 +0530] "GET /signup/assets/img/portfolio/submarine.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:14:13:39 +0530] "GET /signup/assets/img/portfolio/safe.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:14:13:49 +0530] "GET /signup/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:14:13:49 +0530] "GET /signup/login.jsp HTTP/1.1" 200 3202
0:0:0:0:0:0:0:1 - - [10/Jun/2024:14:13:49 +0530] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [10/Jun/2024:14:13:49 +0530] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [10/Jun/2024:14:14:27 +0530] "GET /signup/registration.jsp HTTP/1.1" 200 3908
0:0:0:0:0:0:0:1 - - [10/Jun/2024:14:14:27 +0530] "GET /signup/images/signup-image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:14:14:27 +0530] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [10/Jun/2024:14:14:27 +0530] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 797
